Customer Name,Inv No,Date,Qty,Amount,Type of Sale,Supply Plant,F Y,Month,Due Date,RSPL P Date,Cust Pymt. Date,Amt.,Cust Pymt. Date,Amt.,Cust Pymt. Date,Amt.,Balance,Date of Settlement,EPI Per MT,RSPL EPI Days,RSPL EPI Amt,Cust EPI Amt,Cust. Int. Amt,Pymt Track,Executive,Over Due,Service Charges Amount,Service Charges,Income on Inv,Sale State,Sale Type,Sector,Sale Location,GRADES,IINDUST_TYPE,SALE_DIST,MONTHS,,,,,
Gsr Industries,AP5538063474,30-09-2019,3,254354,1,AP,2019-20,September,2-Oct-19,,,,,,,,0,2019-10-02,0,0,0,0,3273,0,Sunil,0,550,1650,4923,AP,CASH,LLDPE,DOPW,010F18S,Packing,Prakasam,`06 Sept,,,,,
Fortune Home Care Industries,AP5538064057,01-10-2019,1,89738,1,AP,2019-20,October,3-Oct-19,,,,,,,,0,2019-10-03,0,,1776,,2518,0,Manoj,,550,550,4844,AP,CASH,HDPE,DOPW,012DB54,Household,Guntur,`07 Oct,,,,,
Gsr Industries,AP5538065096,03-10-2019,3,261440,1,AP,2019-20,October,5-Oct-19,,,,,,,,0,2019-10-05,0,,,,,0,Sunil,,550,1650,1650,AP,CASH,LLDPE,DOPW,010F18S,Packing,Prakasam,`07 Oct,,,,,
Global Polymers,TG5545063209,07-10-2019,9,876479,2,TG,2019-20,October,22-Oct-19,,,,,,,,0,2019-10-22,1100,,153187,5681,244466,0,Shiva,,350,3150,395122,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`07 Oct,,,,,
Global Polymers,TG5545063245,07-10-2019,9,876479,2,TG,2019-20,October,22-Oct-19,,,,,,,,0,2019-10-22,1100,,,,,0,Shiva,,350,3150,3150,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`07 Oct,,,,,
Tatwa Plast Products,AP5538069506,14-10-2019,5.7,513564,1,AP,2019-20,October,16-Oct-19,,,,,,,,0,2019-10-16,0,,1886,943,1067,0,Shiva,,550,3135,5145,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`07 Oct,,,,,
Tatwa Plast Products,AP5538069547,14-10-2019,0.3,27030,1,AP,2019-20,October,16-Oct-19,,,,,,,,0,2019-10-16,0,,,,,0,Shiva,,550,165,165,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`07 Oct,,,,,
Gsr Industries,AP5538070581,17-10-2019,3,261440,1,AP,2019-20,October,19-Oct-19,,,,,,,,0,2019-10-19,0,,,,,0,Sunil,,550,1650,1650,AP,CASH,LLDPE,DOPW,010F18S,Packing,Prakasam,`07 Oct,,,,,
Gudivada Poly Craft,AP5538071006,18-10-2019,2,171216,1,AP,2019-20,October,20-Oct-19,,,,,,,,0,2019-10-20,0,,,,,0,Sunil,,550,1100,1100,AP,CASH,PP,DOPW,2020EC,Trading,Guntur,`07 Oct,,,,,
Sri Padmavathi Polypack Industries,TG5545067822,24-10-2019,3,270042,2,TG,2019-20,October,8-Nov-19,,,,,,,,0,2019-11-08,1100,,25496,189,34841,0,Manoj,,350,1050,61198,AP,CREDIT,PP,DCA,1100FS,Packing,Krishna,`07 Oct,,,,,
Kankariya Polyfab,AP5538073304,25-10-2019,0.2,19308,1,AP,2019-20,October,27-Oct-19,,,,,,,,0,2019-10-27,0,,,,,0,Manoj,,550,110,110,AP,CASH,PP,DOPW,1100FS,Trading,Guntur,`07 Oct,,,,,
Sri Padmavathi Polypack Industries,AP5538075804,01-11-2019,1,103796,1,AP,2019-20,November,3-Nov-19,,,,,,,,0,2019-11-03,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538075809,01-11-2019,2,210188,2,AP,2019-20,November,16-Nov-19,,,,,,,,0,2019-11-16,1100,,,,,0,Manoj,,550,1100,1100,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Fortune Home Care Industries,AP5538078819,05-11-2019,1,84430,1,AP,2019-20,November,7-Nov-19,,,,,,,,0,2019-11-07,0,,,,,0,Manoj,,550,550,550,AP,CASH,HDPE,DOPW,012DB54,Household,Guntur,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538081053,12-11-2019,1,102734,2,AP,2019-20,November,27-Nov-19,,,,,,,,0,2019-11-27,1100,,,,,0,Manoj,,550,550,550,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538081687,14-11-2019,3,280576,2,AP,2019-20,November,29-Nov-19,,,,,,,,0,2019-11-29,1100,,,,,0,Manoj,,550,1650,1650,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Tatwa Plast Products,AP5538081803,14-11-2019,1,98368,1,AP,2019-20,November,16-Nov-19,,,,,,,,0,2019-11-16,0,,,,,0,Shiva,,550,550,550,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`08 Nov,,,,,
Global Polymers,AP5538082145,15-11-2019,13,1151648,2,AP,2019-20,November,30-Nov-19,,,,,,,,0,2019-11-30,1100,,,,,0,Shiva,,550,7150,7150,AP,CREDIT,HDPE,DOPW,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Global Polymers,AP5538082147,15-11-2019,4,337267,2,AP,2019-20,November,30-Nov-19,,,,,,,,0,2019-11-30,1100,,,,,0,Shiva,,550,2200,2200,AP,CREDIT,HDPE,DOPW,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Global Polymers,AP5538082154,15-11-2019,4,337267,2,AP,2019-20,November,30-Nov-19,,,,,,,,0,2019-11-30,1100,,,,,0,Shiva,,550,2200,2200,AP,CREDIT,HDPE,DOPW,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Global Polymers,TN5542275558,20-11-2019,10,874014,2,TN,2019-20,November,5-Dec-19,,,,,,,,0,2019-12-05,1100,,,,,0,Shiva,,350,3500,3500,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Global Polymers,TN5542275550,20-11-2019,5,443320,2,TN,2019-20,November,5-Dec-19,,,,,,,,0,2019-12-05,1100,,,,,0,Shiva,,350,1750,1750,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538084507,23-11-2019,0.5,41568,2,AP,2019-20,November,8-Dec-19,,,,,,,,0,2019-12-08,1100,,,,,0,Manoj,,550,275,275,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
